,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
979,979,6160241,4571,retweet,5db02f1c7eb4055bc23dd19eb92bc9b0ccbb57d3e3f7ac781a9cc784825b320e,"RT WaltzRIO_ph x 9 + 1 = IN 82 PROVINCES IN ALL THE PHILIPPINES, WITH US IN THE WATCH FAMILY LIFE, education, rise in disaster, or# culture, here is An Aptive Life to cooperate with our citizens:/tcow/hqtO0dx",,1687521296,Twitter,,aptive citizens cooperate culture disaster education family hqto0dx life life philippines provinces rise rt tcow waltzrio_ph watch,17,crime,,141,24,supportive,,0,supportive,0,4.88744592666626
278,278,6885692,8323,retweet,818efdf4a2825d285785c827eb4304b2bf37ad1d11631a22332cc8b3c4a26e02,"RT @07Red2 O mga taga NAGA the bailiwick of Leni Robredo. MAKINIG @ MAGBASA! TUNAY na ipinatutupad ng gobyerno ang diwa ng reconciliation, pagkakaisa. Walang dapat pinipili, bastat taos pusong gustong makatulong. Good Job! @bongbongmarcos ✌ PBBM MAGANDANG BALITA #MoMGoesToCebu https://t.co/fVIjWubbc4",,1678518402,Twitter,,ang bailiwick balita bastat dapat diwa gobyerno good gustong ipinatutupad job leni magandang magbasa makatulong makinig mga na naga ng ng pagkakaisa pbbm pinipili pusong reconciliation robredo rt taga taos tunay walang,32,crime,,16,21,supportive,,0,supportive,0,4.50376033782959
441,441,5851950,186737,retweet,862134b90dab6f88fa6c26193d36ceb7d4bc782ba1c794f576cd0cacd502754f,"RT @pcogovph Ordinary Filipinos will benefit from President Ferdinand R. Marcos Jr.’s participation to the Association of Southeast Asian Nations (ASEAN) Summit, Speaker Martin Romualdez said. Read: https://t.co/0sXmBDoDks https://t.co/mSW5xQRo8Z",,1683783919,Twitter,,asean asian association benefit ferdinand filipinos jr marcos martin nations ordinary participation president read romualdez rt southeast speaker summit,19,crime,,10,64,supportive,,0,supportive,0,4.488845348358154
374,374,4527774,3016,retweet,1a0cdb5bccdceb3c7d291f712c736ad01d48a9162dab8cb1000d8d4aaa2c3a10,"RT wivesynyassar began our Office of the Vice President Disaster Operations Center (OVP-DOC) today to visit and hand food to 963 families affected by a fire in Bargay 21-C and Barangaya 22-C, Pipian, Davao City on February 25. (1/3) typs:/tco./KGA8OMx",,1677529741,Twitter,,21 22 25 affected barangaya bargay began center city davao disaster doc families february fire food hand kga8omx office operations ovp pipian president rt tco today typs vice visit wivesynyassar,30,crime,,26,18,supportive,,0,supportive,0,4.419085502624512
96,96,141869,12370,retweet,17d8f428cd4d8beb051f7679c1fdc5a018b7eff8d8d55698b1d665b2296351e0,"RT @KeaweWong “China stands on the verge of once more becoming the most influential, the most advanced society in the world for the sixth time in history. And that will have been achieved under the leadership of the Communist Party of China (CPC)” – Martin Jacques 🦻🔊👇 #14 https://t.co/JniGmWbqac",,1677388181,Twitter,,14 achieved advanced china china communist cpc history influential jacques leadership martin party rt sixth society stands time verge world,20,crime,,89,21,supportive,,0,supportive,0,4.404387950897217
391,391,4524716,12029,retweet,387c6c467b2bb73beb4c254b278c483a1e4cdd8ef10f7c4ecde9c5422b8c5274,RT @indaysara Hiniling ko sa Boy Scouts of the Philippines na patuloy nitong suportahan ang pamahalaan sa adhikain nitong mabigyan ng magandang edukasyon at kinabukasan ang mga kabatang Pilipino. Ginawa ko ito sa aking pagdalo sa 66th Annual National Council Meeting (ANCM) ng BSP na https://t.co/OaqamVyBV0,,1683890044,Twitter,,66th adhikain aking ancm ang ang annual boy bsp council edukasyon ginawa hiniling ito kabatang kinabukasan ko ko mabigyan magandang meeting mga na na national ng ng nitong nitong pagdalo pamahalaan patuloy philippines pilipino rt sa sa sa sa scouts suportahan,41,crime,,26,16,supportive,,0,supportive,0,4.317972183227539
189,189,7059674,98972,retweet,7ea533105002124c856fe364e892edd8cfdb4375439d374edd23caa51f8f0973,RT @GrowlHarhar Talagang bigtime nasasabat ngaun!!!... The Philippine Drug Enforcement Agency (PDEA) has reported a total drug haul amounting to Php592 million in January under the Marcos administration’s intensified anti-illegal drugs campaign. #PBBMgoodNEWS Read: https://t.co/3dA42QOjuZ https://t.co/BEOSwW3Yd4,,1678105327,Twitter,,administration agency amounting anti bigtime campaign drug drug drugs enforcement haul illegal intensified january marcos million nasasabat ngaun pdea philippine php592 read reported rt talagang total,26,crime,,11,8,supportive,,0,supportive,0,4.230693817138672
120,120,2244207,19018,retweet,04560cfe3437d66e8483ae3b47e14790c674dc4487f8b14b1c862faf751669d5,"RT @PoliceUg Today, the Deputy Director CPC, CP @HilaryKulayige accompanied by a team of senior officers from Police Headquarters, held a meeting with police officers in Busoga North Region. While addressing the officers, CP Kulayige emphasized the importance of financial management and… https://t.co/axrDcEVCOe",,1686761861,Twitter,,accompanied addressing busoga cp cp cpc deputy director emphasized financial headquarters held importance kulayige management meeting north officers officers officers police police region rt senior team today,27,crime,,29,9,supportive,,0,supportive,0,4.191910743713379
396,396,2293377,9507,retweet,2068154d64a0f41cb851360eba5cdca93cc8b6eac62187515093e6f09862b045,"RT @pcogovph President Ferdinand R. Marcos Jr. on Tuesday said his administration has stepped up efforts to establish a cybersecurity system, a crucial part of his administration's push to digitalize the bureaucracy. Read: https://t.co/kmx3VOltct https://t.co/hg8gaT05SB",,1674043329,Twitter,,administration administration bureaucracy crucial cybersecurity digitalize efforts establish ferdinand jr marcos part president push read rt stepped system tuesday,19,crime,,11,12,supportive,,0,supportive,0,4.115402698516846
357,357,1187828,2205,retweet,d620e2dca86aa402a51a438cbaeedf9bc8e7c994d52c58a293884b5bca0f23dc,"RT @AlfredoGenom Some PHP10 billion worth of illegal drugs were seized across the country during the first six months of PBBM in office. More than 30,000 drug suspects were arrested in 24,000 police operations. 🇵🇭 https://t.co/FVlDX3MX0c",,1673255086,Twitter,,000 000 24 30 arrested billion country drug drugs illegal months office operations pbbm php10 police rt seized suspects worth,20,crime,domestic_political_issues,12,11,supportive,,0,supportive,0,4.088982105255127
