,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
1425,1425,354503,19351,retweet,87155972cb5c24a0f4f9e71a83afee8d71e069de8b1134428822f2bf39e83f39,RT @EmeraldRobinson What they want to do in 2023: Biden signs illegal treaty granting “pandemic” control to WHO (run by China). A new pandemic will be announced. WHO will demand lockdowns & vaccine passports in the West. The USA will be a tyranny under emergency law.,,1679927656,Twitter,,2023 announced biden china control demand emergency granting illegal law lockdowns pandemic pandemic passports rt run signs treaty tyranny usa vaccine west,22,energy,,1130,19,supportive,,0,supportive,0,11.3177490234375
2938,2938,2738352,141667,retweet,09130267a600da5c7128bd45deb40a790013918f729ed777e202ff7986e4fb52,RT @RepTroyNehls Why did 97 Democrats vote against a ban on selling American oil to China?,,1673624723,Twitter,,american ban china democrats oil rt selling vote,8,energy,,2850,19,opposing,,0,opposing,0,8.854963302612305
2882,2882,4875487,31368,retweet,88026a3815b5fd3acde27f96102c12a57abba53a06107b99e60026405562c902,"RT @RepMattGaetz BREAKING: China is operating an intelligence-gathering platform masquerading as an oil rig in the Gulf of Mexico. Meanwhile, America’s Gulf Test Range, where we test military capabilities to defeat China, is currently shut down due to the “discovery” of 51 whales. A serious… https://t.co/R1bRH6pCjG",,1678307185,Twitter,,america breaking capabilities china china defeat discovery due gathering gulf gulf intelligence masquerading mexico military oil operating platform range rig rt shut test test whales,25,energy,,3143,21,opposing,,0,opposing,0,8.095630645751953
1335,1335,2995393,745,retweet,f54d63d353c8b41f50227d02c51cd2402e04a98983adf7ac6bfe397776482aa3,"RT @upholdreality Col. DOUGLAS MACGREGOR: ""China did not rob us of our manufacturing base, we robbed ourselves of it. Greedy people in Washington and the corporate sector shipped those things out. This is what people need to get in their heads: stop looking overseas for someone to blame for the… https://t.co/MJ24L9EuCv",,1678508672,Twitter,,base blame china col corporate douglas greedy heads macgregor manufacturing overseas people people rob robbed rt sector shipped stop things washington,21,energy,,1905,32,supportive,,0,supportive,0,7.636816501617432
2883,2883,6189531,31368,retweet,62d1fb167f8b902f82f973b2018a3face2166ec3fde04674c64f888c9ec710bd,RT @SteveScalise It’s been 4 weeks since more than 100 House Democrats joined House Republicans to pass a bipartisan bill that bans Biden from selling more oil from America’s Strategic Petroleum Reserve to China. Yet the Senate still refuses to even take it up. Do your job.,,1676215600,Twitter,,america bans biden bill bipartisan china democrats house house job joined oil pass petroleum refuses republicans reserve rt selling senate strategic weeks,22,energy,,1510,21,opposing,,0,opposing,0,7.320551872253418
1340,1340,649726,745,retweet,cdbd9772b30604c00592ad1b381bbe636f62a2a9edea8436d4de5de2c970e3fd,"RT @SpeakerMcCarthy Republicans in the House of Reps are working for you: ➡️ Cut Democrats' army of 87,000 new IRS agents ➡️ Ended radical, soft-on-crime policies in Washington DC ➡️ Stopped the sale of Strategic Petroleum Reserves to China https://t.co/uvdL1Ks0dn",,1679603914,Twitter,,000 87 agents army china crime cut dc democrats ended house irs petroleum policies radical reps republicans reserves rt sale soft stopped strategic washington working ➡️ ➡️ ➡️,28,energy,,1461,32,opposing,,0,opposing,0,7.110045433044434
6,6,5689564,8756,retweet,50e2eb6e6145ecd0e782d90ebe3ea701b3913b514e728863a3d444c04dc3ee25,"RT @Constanze2022 A few days ago, the Chinese discovered that the US military was using tents from China. Only now it turned out these tents are from a humanitarian convoy that China sent to Syria. The Americans are not only stealing oil from Syria, but also humanitarian aid. https://t.co/9zSG3dwR6v",,1679020450,Twitter,,ago aid americans china china chinese convoy days discovered humanitarian humanitarian military oil rt stealing syria syria tents tents turned,20,energy,,4424,56,opposing,,0,opposing,0,6.9945387840271
3015,3015,6057666,2804,retweet,3d3970632f1c40bc9d76d43f04add650a77bfbb95e10ad058390e4506d9769bc,"RT @KanekoaTheGreat Joe Biden's proxy war against Russia continues to push Saudi Arabia into a deeper alliance with China and Russia — over the last few months: 1. Saudi Arabia joined Shanghai Cooperation Organization led by China, Russia, India, and other nations 2. Saudi Arabia cut oil… https://t.co/t2mnLYVhdz",,1680757064,Twitter,,alliance arabia arabia arabia biden china china continues cooperation cut deeper india joe joined led months nations oil organization proxy push rt russia russia russia saudi saudi saudi shanghai war,30,energy,,1427,108,supportive,,0,supportive,0,6.88126802444458
5239,5239,5231031,6044,retweet,890f08bafa9206bc23b081e836cf4183ef9de0939b3ef4039c808ab7354f407d,"RT @RobertAlanWard FT chart showing how thickly woven the South China Sea is with undersea internet cables, carrying data not just within the region but also beyond. Dotted red line denotes China’s territorial claims on SCS. https://t.co/ISxBJWwlmf",,1679003997,Twitter,,cables carrying chart china china claims data denotes dotted ft internet line red region rt scs sea showing south territorial thickly undersea woven,23,energy,,210,51,supportive,,0,supportive,0,6.844070911407471
1186,1186,3505012,8456,retweet,d15dab87fa12f155d91f956133035394ccad57792cc4749a099159ea263dcce8,"RT @upholdreality China MFA Spokesman WANG WENBIN: ""It must be pointed out that the US blames China for exporting “fentanyl precursors”, which are in fact only ordinary chemicals sold through normal trade. In international trade, it is the importer’s duty to prevent such chemicals from falling… https://t.co/p7KJ33oYcK",,1681758929,Twitter,,blames chemicals chemicals china china duty exporting fact falling fentanyl importer international mfa normal ordinary pointed precursors prevent rt sold spokesman trade trade wang wenbin,25,energy,,302,33,supportive,,0,supportive,0,5.80972146987915
