,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
335,335,3780876,8756,retweet,cde5dd02bb83aa3a067086445f7b7caf203d879598fcd863c1f3f3f2bf86369d,"RT @ClareDalyMEP Shameful displays of colonial arrogance towards China should be left in the past. The issue is simple. Do we want to be a vassal of our Atlantic friends, or have peaceful, independent relations with our largest trading partner, which hasn't dropped a bomb on anyone in 40 years? https://t.co/9hfs4CuikR",,1682683806,Twitter,,arrogance atlantic bomb china colonial displays dropped friends independent issue largest left partner past peaceful relations rt shameful simple trading vassal years,22,labor_and_migration,,1622,64,supportive,supportive,1,,0,9.854591369628906
1211,1211,3186914,13564,retweet,4dad9f689e5241e7d932ccbd18ef530b429022403b0bde9e678cafd6d10d5d39,"RT @caitoz Imagine If China Did To The US What The US Is Doing To China ""Your brain would have to be made of soup not to look at that graphic and understand who the real aggressor is here."" https://t.co/LRpOjqA6Hp",,1676807838,Twitter,,aggressor brain china china graphic imagine made real rt soup understand,11,labor_and_migration,,641,44,supportive,,0,supportive,0,7.263260841369629
4,4,2292831,20135,retweet,a438863b371278900bdd016d00b8fd241064a8f0af06d02a6e6cd1beeec0c8ac,RT @wallacemick We had a very good meeting today in Beijing with the European Affairs International Department Central Committee CPC - The #EU needs to develop an Independent approach to #China that best serves the interests of the people of Europe and China... https://t.co/3bmnKoiz6U,,1680557808,Twitter,,affairs approach beijing central china china committee cpc department develop europe european good independent interests international meeting people rt serves today,21,labor_and_migration,,221,32,supportive,,0,supportive,0,6.291726589202881
1147,1147,2119751,2804,retweet,15717ff88ec976afd33a746eec3a5cfffd55fbe1bc12214fe26e9d542d9175b1,"RT @Kanthan2030 The impressive ""China Model"" that emerged as the clear winner in the last 20 years.👇 Western neoliberalism has languished. And they have no explanation other than crying, ""But we have freedom and democracy."" The fake logic here is, of course, that somehow freedom and democracy… https://t.co/B9oSyRoaN2",,1682256163,Twitter,,china clear crying democracy democracy emerged explanation fake freedom freedom impressive languished logic model neoliberalism rt western winner years,19,labor_and_migration,,607,99,supportive,,0,supportive,0,6.157314777374268
202,202,6301699,125512,retweet,b72b83fea3f9441a50467d2ba93a72821448d4758c5353b4693f34926421bffd,"RT @NiMingda_GG 1/ The Australian government & media is deceiving the public about the true purpose of AUKUS. The military pact is sold to the public as necessary to defend against a ""growing Chinese threat"". In reality, it's meant to assist the U.S. in future offensive wars against China.",,1678971129,Twitter,,assist aukus australian china chinese deceiving defend future government growing meant media military offensive pact public public purpose reality rt sold threat true wars,24,labor_and_migration,,241,19,opposing,,0,opposing,0,5.887943744659424
343,343,746652,8756,retweet,196a7c240f0dc39d7280e26b237b4e305853e52278ada49000efdc91379859dc,"RT @RichardJBardon Haha, no. Taiwan has no ""sovereign territory"" because it is universally legally recognised (including by the US & its own government) as part of China. Nor can the US claim transit rights contingent to a treaty (UNCLOS) it has not ratified. Go back to school.",,1686019566,Twitter,,back china claim contingent government haha including legally part ratified recognised rights rt school sovereign taiwan territory transit treaty unclos universally,21,labor_and_migration,,246,64,opposing,,0,opposing,0,5.462976932525635
352,352,4973805,32211,retweet,f498a10012e1cfb64d01c2c541ae2ba58710493a806da13f1207f122074289d4,"RT @Kanthan2030 Uyghurs are less than 0.1% of China’s population. There’s no need for the Chinese government to harass them. However, it also shows how foreign subversion can create massive instability and worldwide propaganda using 1% of 0.1%. The US efforts failed spectacularly but still… https://t.co/RxqXVkASMq",,1686788790,Twitter,,china chinese create efforts failed foreign government harass instability massive population propaganda rt shows spectacularly subversion uyghurs worldwide,18,labor_and_migration,,205,33,neutral,opposing,1,,0,5.2100653648376465
185,185,3865207,48159,retweet,d816dfb46dd5732fb6977b0149b15db9e24677f3e149dded7bba4b0dbda26228,"RT @mortenhjm #British 2 time Oscar winner and documentary film maker Malcolm Clarke: #Chinese people definitely exists with a sense of their past greatness, and a bitter sense of the couple of centuries of colonial humiliation The 21st century is going to be #China’s century, of that i have… https://t.co/QOwY879RZy",,1682593242,Twitter,,21st bitter centuries century century china clarke colonial couple documentary exists film greatness humiliation maker malcolm oscar past people rt sense sense time winner,24,labor_and_migration,,40,27,supportive,,0,supportive,0,5.12451696395874
1066,1066,2778147,30385,retweet,1ef5c9de12cc227a8f67a40e1f0804fcdcc94bfbaf563cfddbecdad168a44ee7,"RT @RebeccaYChan I saw China’s transformation from 1987 onwards. The ongoing changes have been staggering I travel regularly back to the West. Not much changes there Had the CPC kept 1.4 billion Chinese poor, the West would have no problems with the China It objects to Chinese people thriving",,1683016352,Twitter,,back billion china china chinese chinese cpc objects ongoing onwards people poor problems regularly rt staggering thriving transformation travel west west,21,labor_and_migration,,38,26,supportive,,0,supportive,0,5.054174423217773
877,877,793490,57798,retweet,4b0e16e2360ab6ec11345137459de823429b9b6f0f8f2ded697f1102b7e5d8ca,"RT @NiMingda_GG @SariArhoHavren @HKgrizzly China isn't alone. Most of Asia, Africa & Latin America are with China. So is Russia. China is not part of the U.S. led Western coloniser club. That's a good thing.",,1680350906,Twitter,,africa america asia china china china club coloniser good latin led part rt russia thing western,16,labor_and_migration,,10,11,supportive,,0,supportive,0,5.007446765899658
184,184,1415487,48159,retweet,d5cb8177e4ac63ed70f65db626f68b831f979cabe51f240672b93ed57ba1da97,"RT @globaltimesnews Declaring a Canadian diplomat in Shanghai as ""persona non grata"" and asking the diplomat to leave China before May 13 is an action that China took to safeguard its legitimate rights and interests. This action is completely justified and necessary: Chinese Foreign Ministry… https://t.co/aY80lh55vL",,1683627707,Twitter,,action action canadian china china chinese completely declaring diplomat diplomat foreign grata interests justified leave legitimate ministry persona rights rt safeguard shanghai,22,labor_and_migration,,14,27,supportive,,0,supportive,0,4.902029991149902
22,22,6226058,8456,retweet,1278d309a7226629f226b38dc0f040dd015260611fd1db0171fbd34393a56811,"RT @globaltimesnews The Communist Party of China is from within the population. They would adjust exactly according to the needs of the people, Palestinian Ambassador to China told GT. He said that China has a kind of dynamic interaction democracy, which reaches to the top level of leadership. https://t.co/qOkSdH2K5F",,1677909930,Twitter,,adjust ambassador china china china communist democracy dynamic gt interaction kind leadership level palestinian party people population reaches rt told top,21,labor_and_migration,,15,31,supportive,,0,supportive,0,4.884678363800049
