,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
1053,1053,3465923,8323,retweet,a32d7967c5f693a8b04068aa2a013271111a14666d3fcffef4085d2d118ee7a5,"RT @GrowlHarhar The Philippine Development Plan: 2023-2028 (PDP) provides us with a comprehensive roadmap containing actionable policies and programs, as well as legislative priorities that will enable us to achieve our desired development outcomes, said Pres. Ferdinand R. Marcos Jr. 1/1 Thread https://t.co/UJwDpBX28z",,1675063261,Twitter,,2023 2028 achieve actionable comprehensive desired development development enable ferdinand jr legislative marcos outcomes pdp philippine plan policies pres priorities programs roadmap rt thread,24,social_and_economic_issues,,10,283,supportive,,0,supportive,0,6.487574100494385
1026,1026,6357087,8323,retweet,960350c2604e4200ad72da3f6927fe49521eb923a5300cb9da8b592582a016b6,"RT @cnnphilippines President Ferdinand Marcos, Jr. asked Filipinos to show compassion to the poor as the country celebrates the Chinese New Year. https://t.co/TauK80cCas",,1674360974,Twitter,,asked celebrates chinese compassion country ferdinand filipinos jr marcos poor president rt show year,14,social_and_economic_issues,,12,283,supportive,,0,supportive,0,6.375246524810791
1373,1373,4180744,11726,retweet,6a52da6a770abc914dc33d57c857591a06d80ade064ff1937e6bf46cc42fa2b4,"RT @pnagovph Indonesian tycoon Dato’ Sri Tahir has donated about PHP41.6 million to the Philippines, with a pledge to support the social welfare and healthcare programs of the administration of President Ferdinand R. Marcos Jr. https://t.co/YQDM4QNegU",,1685625045,Twitter,,administration dato donated ferdinand healthcare indonesian jr marcos million philippines php41 pledge president programs rt social sri support tahir tycoon welfare,21,social_and_economic_issues,,30,241,supportive,,0,supportive,0,6.368398189544678
2645,2645,5508529,321,retweet,efe67d60dd3d3868758e29a6754d9c48e87e9e6ad937fbd5b6fce09c607acbc6,"RT @ABSCBNNews Controversial lawyer Larry Gadon has been appointed by President Ferdinand Marcos, Jr. as his adviser on poverty alleviation. FULL STORY: https://t.co/84CI4ZgvT6 https://t.co/ggpjPXY2kC",,1687794282,Twitter,,adviser alleviation appointed controversial ferdinand full gadon jr larry lawyer marcos poverty president rt story,15,social_and_economic_issues,,18,112,supportive,,0,supportive,0,6.159688472747803
2635,2635,4034573,321,retweet,b2c2e36aad97345a66c55158e3f9e3e66d474767cae8c5b24caacf782909e791,RT @ABSCBNNews Marcos urges Filipinos to pay correct taxes as BIR vows to run after tax evaders https://t.co/mGnkTBSBTg,,1675765246,Twitter,,bir correct evaders filipinos marcos pay rt run tax taxes urges vows,12,social_and_economic_issues,,71,112,supportive,,0,supportive,0,6.149866580963135
1067,1067,4477963,8323,retweet,a35fddb25c0fc43097300b9b67299b97207d6bf403852d681865d9b93e74f311,RT @tmtcathyvalente WATCH: President @bongbongmarcos says there is a need to continue the implementation of urban farming project HAPAG PBBM to ensure food security in the country @TheManilaTimes https://t.co/nqiCE4dwCK,,1677669246,Twitter,,continue country ensure farming food hapag implementation pbbm president project rt security urban watch,14,social_and_economic_issues,,13,283,supportive,,0,supportive,0,6.107283592224121
1397,1397,1882424,11726,retweet,2e3ac53289cec7d73dd2c466a8da632c0e48500983c612ce5f3a397fc1fb9e63,RT @opgovph LIVE: President Ferdinand R. Marcos Jr. joins the Department of the Interior and Local Government and the Department of Agriculture in launching the Halina’t Magtanim ng Prutas at Gulay (HAPAG) Kadiwa’y Yaman (KAY),,1677634475,Twitter,,agriculture department department ferdinand government gulay halina hapag interior joins jr kadiwa kay launching live local magtanim marcos ng president prutas rt yaman,23,social_and_economic_issues,,17,241,supportive,,0,supportive,0,6.047532081604004
1035,1035,2434916,8323,retweet,1fc22dfbf0ba207a8469dd2dea227c98d7cc762dcb0d05b85177f386fba6bbff,"RT =radyolypinin1 SATORIN Danny President Ferdinand R. Marcos Jr., positively many business leaders and pointiential investors will meet with the Philippine delegation at the World Economic Forums of the World Economic Forum. upgradeRacquelbayan ts:/tco./23IllmJb",,1673852919,Twitter,,23illmjb business danny delegation economic economic ferdinand forum forums investors jr leaders marcos meet philippine pointiential positively president radyolypinin1 rt satorin tco ts upgraderacquelbayan world world,26,social_and_economic_issues,,16,283,supportive,,0,supportive,0,6.0365214347839355
1030,1030,2924214,8323,retweet,999c58c795479f75f47e9c7694636d4f5504a14a1ad8417b01d12deff9105fa4,"RT @pcogovph President Ferdinand R. Marcos Jr. led on Thursday two groundbreaking ceremonies for the construction of more than 20,000 housing units for residents of Camarines Sur as part of the government’s Pambansang Pabahay Para sa Pilipino (4PH) Program. Read: https://t.co/TNgO5BI9t1 https://t.co/ZweZJQjB2U",,1678955236,Twitter,,000 20 4ph camarines ceremonies construction ferdinand government groundbreaking housing jr led marcos pabahay pambansang para part pilipino president program read residents rt sa sur thursday units,27,social_and_economic_issues,,16,283,supportive,,0,supportive,0,6.035598278045654
2427,2427,5982994,2133,retweet,64f4c54591a616b9ed64a80c2ba6e0e4d0f5951eb3118895b3b1ab705a3fa5f6,RT öbongmarcos Prayority of the administration Mark-Duterte tells our workers that we value and continue to protect their welfare. We do this at the celebration of 121st Labor Day where we launched Kadiwa for Mando and job fair as... hetps:/tcoc./vqfO4f40,,1682848321,Twitter,,121st administration celebration continue day duterte fair hetps job kadiwa labor launched mando mark prayority protect rt tcoc tells vqfo4f40 welfare workers öbongmarcos,23,social_and_economic_issues,,37,161,supportive,,0,supportive,0,6.000080585479736
