Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
2223,488893,2572,retweet,3456d4e923e8eca8e664ce74e77d752a5dbd9bca2fea872142b022954a49e3ee,"RT ÖRyanLingo_ What’s wrong with having friends in America, Russia, and China?",,1675373412,Twitter,,america china friends rt russia wrong öryanlingo_,7,labor_and_migration,,17,40,neutral,,0
424,5420572,2111,retweet,846d913f1426f76c293c068490b04449187057b248ec6fb6b26b053fdc8cf720,RT @GordonGChang This is a critical moment. Will the #US enforce the right of free passage or submit to #China? #Taiwan,,1680817424,Twitter,,critical enforce free moment passage rt submit,7,labor_and_migration,,100,6,opposing,,0
1157,5899637,13800,retweet,2c6fb213ac900a165a54b107cac17ec88a5deed20e1de5d42f63edb3d14f81bd,"RT wivesungala007 The problem is that many of us think EDCA is to get China out of the SCS contested waters. I don’t care about the US there. The dispute is between China and Phils only. The US has nothing to do with that, bott obvily the posting.",,1681663844,Twitter,,bott care china china contested dispute don edca obvily phils posting problem rt scs waters wivesungala007,16,labor_and_migration,,13,80,neutral,,0
1195,6023420,25768,retweet,fa564597a8dcbbfef10dab3d9f04e6ee3f5391f5190d23b1b64268f3f1d9cf82,RT @DarrenJBeattie If this happened in China they'd send the aggressor to work the Cobalt mines for 20 years,,1683774479,Twitter,,aggressor china cobalt happened mines rt send work years,9,labor_and_migration,,47,5,opposing,,0
322,2275485,6310,retweet,e58d2954d0b438d48be72ba59cd0719fe97ef8db102c310ece4b0913e16acf49,"RT @KruseBrendan The statement is astounding. China's FM states there is no such thing as entering another country's EEZ? Now more than ever, it is important for like-minded partners to stand together as countries like China attempt to deny the existence of established international law and…",,1686161917,Twitter,,astounding attempt china china countries country deny eez entering established existence fm important international law minded partners rt stand statement states thing,22,labor_and_migration,,18,35,opposing,,0
296,706873,173622,retweet,9e91dd5f99c59677ceb3abd95a83747d99fb9bc5a75b97cc61e0c856863795eb,RT @CarlZha The overwhelming majority of shipping traffic thru the South China Sea is to and from China https://t.co/L4mA1QOjUd,,1686222841,Twitter,,china china majority overwhelming rt sea shipping south traffic,9,labor_and_migration,,17,6,neutral,,0
61,5825353,9988,retweet,2d7b343d5e14e98600f4f1321fdfb61dafd5a866b7b01dbfcc6a8799e6ee316d,"RT @caitoz @SenatorWong What threatens our region and undermines global security is the US empire of which Australia is a tool. They're the ones pushing us toward war with China, and their aggressions are the reason North Korea sought nukes in the first place. And you consistently support the US empire.",,1685556016,Twitter,,aggressions australia china consistently empire empire global korea north nukes place pushing reason region rt security sought support threatens tool undermines war,22,labor_and_migration,,45,12,opposing,,0
319,4710059,6310,retweet,edba673cdc3a90e133c9bf2492d7b2d4369dcb55ae63d8b41d1d6aa5649f3300,"RT @GordianKnotRay 1/Six @USTreasury-sanctioned ships belonging to an infamous #IUU fishing enterprise from #China have been plying the Philippine Sea for the past 2 months, just outside the #Philippines' exclusive economic zone. [🧵1/5] https://t.co/mDzzCNEEI7",,1681033262,Twitter,,belonging china economic enterprise exclusive fishing infamous months past philippine plying rt sea ships zone 🧵1,16,labor_and_migration,,61,35,opposing,,0
14,4169950,298498,retweet,3a84b205ad63a5c189b671af5dcdff7640aba7b49c5d9191f52d1e5d534c2926,RT @RebeccaYChan Yankees squat all over Asia to surround China in order to impose White Supremacist domination on 1.4 billion Chinese people. The Americans market their white supremacy under “freedom and democracy”. But we see them for the white supremacists that are and have always been.,,1682771336,Twitter,,americans asia billion china chinese democracy domination freedom impose market order people rt squat supremacist supremacists supremacy surround white white white yankees,22,labor_and_migration,,94,8,supportive,,0
0,4499175,33068,retweet,95c6b616d4119403c1086ab0494993bfc207da1c3f168d2d7da91f81434b724f,"RT @RnaudBertrand Wow, I believe this is the first time ever that China comments on another country's treatment of their own population. https://t.co/KeitWdayo4",,1681562388,Twitter,,china comments country population rt time treatment wow,8,labor_and_migration,,146,17,neutral,,0
