Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
1458,4875216,88921,retweet,92f876ca7a3625029305c3c2d63b6862c3d89f5e09340c5da8bfc475d57cbd0f,"RT @USNavy #USNavy Photos of the Day: 1️⃣ #USSNimitz @NimitzNews #FLTOPS and 2️⃣ weapons maintenance in the South China Sea 3️⃣ #USSAntietam #CG54 transits the Philippine Sea and 4️⃣ @USMC #VBSS training aboard #USSMiguelKeith #ESB5 @US7thFleet, @INDOPACOM 👉 https://t.co/aZddB6hxYf https://t.co/4pGuqJiDRX",,1676468603,Twitter,,1️⃣ 2️⃣ 3️⃣ 4️⃣ aboard china day maintenance philippine photos rt sea sea south training transits weapons,17,us_military,,43,11,neutral,,0
5730,6157603,449447,tweet,,"Beijing claims sovereignty over almost the entire South China Sea, ignoring an international ruling that the assertion has no legal basis. https://t.co/s5PhUnY4eF",,1682930493,Twitter,,assertion basis beijing china claims entire ignoring international legal ruling sea south sovereignty,13,domestic_political_issues,us_military,13,24,opposing,,0
2078,2618466,755512,retweet,b3e7830e0859f9c30f7bfd49fe2f9200dc1a9806d4cf271c53d7d0e7056b5264,"RT @CanariesBlue US set to boost military presence near China . The US military to be deployed to four new bases in ""strategic areas"" of the Philippines. https://t.co/nQ5batFY4o",,1675430335,Twitter,,areas bases boost china deployed military military philippines presence rt set strategic,12,us_military,,16,5,supportive,,0
3733,3092623,25850,retweet,8175cd4b100b2fe1e61b4226b4fbd4deb17adbf5086bd3bd340fe95888b1d732,"RT @CDonatac @tmt_kmaralit @TheManilaTimes Example #878 of “VP Harris doesn’t get the credit she deserves” Last year she visited President Marcos in the Philippines with a plan. Fast forward to present & Marcos now gives US military acces to 4 new bases including the South China Sea ,bringing total up to 10+ in the area",,1683054429,Twitter,,10 878 acces area bases bringing china credit deserves doesn fast forward harris including marcos marcos military philippines plan present president rt sea south total visited vp year,28,us_military,,19,7,opposing,,0
66,1615585,735021,retweet,838bbbec1fb877fd7d6de9385977814fdfa6ffac94ef3dfadb8f2c59b9aa494f,"RT @globaltimesnews By adding new military bases in the Philippines, the US has kept reinforcing military deployments in the South China Sea and intentionally escalating regional tension. The Chinese military will firmly safeguard national territorial integrity and maritime interests, as well as the… https://t.co/YJSwD6h6QD",,1682607899,Twitter,,adding bases china chinese deployments escalating firmly integrity intentionally interests maritime military military military national philippines regional reinforcing rt safeguard sea south tension territorial,24,defense_and_military,us_military,58,6,opposing,,0
2531,1887985,1504788,retweet,7d5a8efe1d538ccb653b88296b9580019ac2ea7ed79f09983c70fef2e5e90b4d,"RT @TimInHonolulu Philippine Coast Guard Cutters, Chinese Warship Almost Collide in South China Sea https://t.co/2OQIatca4j",,1683069472,Twitter,,china chinese coast collide cutters guard philippine rt sea south warship,11,us_military,,13,5,neutral,,0
3154,849222,179312,tweet,,US to get expanded military base access in The Philippines https://t.co/yEdwXezdWW,,1675313565,Twitter,,access base expanded military philippines,5,us_military,,18,10,supportive,,0
1021,4460799,86236,retweet,e96f1027fd3999f80d64795e5214b1d858f2e6115ba7b5c9595d1249a6efe8af,RT @Apex_WW US and Philippine forces fire on mock enemy warship in South China Sea military exercise https://t.co/ITidROzat6,,1682520135,Twitter,,china enemy exercise fire forces military mock philippine rt sea south warship,12,us_military,,15,16,supportive,,0
5164,6466434,69127,tweet,,Philippine coast guard rescues 120 people as ferry catches fire https://t.co/SZnJRlQCGm https://t.co/zF34EHvjmf,,1687084234,Twitter,,catches coast ferry fire guard people philippine rescues,8,us_military,,13,7,neutral,,0
2086,4645440,42965,retweet,5e10b42e08d70ab7b3864bd3661684d4ca67bbf902fb453e69a569ad62498196,"RT @jaytaryela The Task Force Kaligtasan sa Karagatan (TF KsK) of the @coastguardph has achieved another milestone in securing the West Philippine Sea. They have successfully installed five navigational buoys on critical areas - Patag Island, Balagtas Reef, Kota Island, Panata Island, and Juan… https://t.co/Ge3riQDqXK",,1684158400,Twitter,,achieved areas balagtas buoys critical force installed island island island juan kaligtasan karagatan kota ksk milestone navigational panata patag philippine reef rt sa sea securing successfully task tf west,29,us_military,,41,26,supportive,,0
4173,3407578,10935,retweet,3eea0552a7bdda42951e2cfb0194e438bb39d41b630f0d6407363c9fb7b0e336,RT @pnagovph President Ferdinand R. Marcos Jr. on Monday appointed lawyer Gilberto C. Teodoro Jr. as Secretary of the Department of National Defense and Dr. Teodoro J. Herbosa as Secretary of the Department of Health. https://t.co/MqiQLGJbGp,,1686056921,Twitter,,appointed defense department department dr ferdinand gilberto health herbosa jr jr lawyer marcos monday national president rt secretary secretary teodoro teodoro,21,us_military,,13,45,neutral,,0
212,1884230,233767,retweet,dda75b71a174d6d50627c2a80ad39447d27cbda5305ca74cfacf6231474f756f,RT @USPacificFleet #HazeGray: USS Wayne E. Meyer (DDG 108) steams near the aircraft carrier USS Nimitz (CVN 68) in the South China Sea. The Nimitz Carrier Strike Group is in U.S. 7th Fleet conducting routine operations. #USNavy #USSNimitz 📸 MC3 Hannah Kantner @SurfaceWarriors https://t.co/gA8uH6UpRz,,1675293291,Twitter,,108 68 7th aircraft carrier carrier china conducting cvn ddg fleet group hannah kantner mc3 meyer nimitz nimitz operations routine rt sea south steams strike uss uss wayne,28,us_military,,25,11,supportive,,0
5510,2930893,44628,tweet,,The US has secured access to four additional military bases in the Philippines - a key bit of real estate which would offer a front seat to monitor the Chinese in the South China Sea and around Taiwan. ⁦@wingcommander1⁩ https://t.co/VxClUZ0qfE,,1675347172,Twitter,,access additional bases bit china chinese estate front key military monitor offer philippines real sea seat secured south taiwan,19,us_military,,12,5,supportive,,0
18,4106900,28859,retweet,e77f22b847940942b8a43cd7e8d1635a9c3a7654e5349daf15b6e894b0e7d83b,RT @apocalypse0s 🇺🇸🇵🇭 US-Philippines largest-ever military drills met with fierce local protests against the increasing military presence of the US in the Philippines and warnings from observers of jeopardizing regional stability. https://t.co/2wiJuClSej,,1681309625,Twitter,,drills fierce increasing jeopardizing largest local met military military observers philippines philippines presence protests regional rt stability warnings,18,us_military,,13,33,opposing,,0
863,2941573,762964,retweet,66164c0fe08535780da5ac54bd60f19903c68d46a9c22ce0ed8778e41bfbc28f,"RT @space_osint Earlier this week, USAF (🇺🇸) F-22 Raptors deployed to Clark AB, the Philipines (🇵🇭). It was the first time that 5th generation aircraft have operated out of the Philippines, and included aerial exercises with Philippine FA-50PH fighter aircraft over the South China Sea. https://t.co/96Rr1PSFmm",,1679093664,Twitter,,22 50ph 5th ab aerial aircraft aircraft china clark deployed earlier exercises fa fighter generation included operated philipines philippine philippines raptors rt sea south time usaf week,27,us_military,,13,8,supportive,,0
