,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
433,3446592,49340,retweet,1fdbdcc1fcc01af487f89b5be70abce274e8bad338b01560157f267ff8a44c2e,"RT @emeriticus And this gets at the fundamental problem of tech: does it empower or enslave? In Ukraine, it gave the perception of empowering a democratic movement. In reality, it advanced the interests of the US government and its proxies. 29/",,1677347967,Twitter,,29 advanced democratic empower empowering enslave fundamental gave government interests movement perception problem proxies reality rt tech ukraine,18,insurgent_threats,,53,4,opposing,,0
1278,1255642,373549,retweet,7478317f19c54a8503869dc7d1042b529597890b4dff7da829b1c0be2b416a46,"RT @ariesarugay Our mode of transition from authoritarian rule was neither here nor there as it combined features of rupture (mass mobilization) and negotiation (Marcos &his cronies were not persecuted and allowed to flourish). In this regard, EDSA's perceived failure is not a surprise. #EDSA37",,1677289825,Twitter,,allowed authoritarian combined cronies edsa failure features flourish marcos mass mobilization mode negotiation perceived persecuted regard rt rule rupture surprise transition,21,insurgent_threats,,5,3,neutral,,0
901,4163115,3960,retweet,ff426c7cd5b6b065826118bea033cc3e60db3ea56ae13585b4b5a0e28b38635e,"RT @MartinGrasdal Can you imagine AB with its own police force and the mendacious, authoritarian, and clueless PDS in charge? Think she wouldn't try to interfere with police investigations or try to influence what criminal charges to pursue?",,1673663001,Twitter,,ab authoritarian charge charges clueless criminal force imagine influence interfere investigations mendacious pds police police pursue rt,17,insurgent_threats,,4,5,opposing,,0
2574,5058301,53665,retweet,86c07669d39300497c0f5b6cd871f8f430f8ff2032089b17d05f98e41e0be733,RT @Pinoykritiko The January 6 insurrection and the Brazil incident are reminders that ELECTION DENIALISM is dangerous to democracy. The Pinklawans are still in denial that President Bongbong Marcos won in a LANDSLiDE victory. They are threats to Philippine democracy by stoking lies!,,1673314493,Twitter,,bongbong brazil dangerous democracy democracy denial denialism election incident insurrection january landslide lies marcos philippine pinklawans president reminders rt stoking threats victory won,23,insurgent_threats,,2,3,neutral,,0
2602,2500817,211781,retweet,09aec2248fb077be1ac73d96cef618208f0e23c4faed8ec1dc73df381963c50e,"RT @anakbayanto Today, we mark the 37th anniversary of the EDSA People Power Revolution. On February 22 to 25 in 1986, millions of outraged Filipinos stormed the streets to protest against the 14-year fascist rule of the Marcos regime. https://t.co/mYNZWrUA18",,1677361887,Twitter,,14 1986 37th anniversary edsa fascist february filipinos marcos mark millions outraged people power protest regime revolution rt rule stormed streets today year,23,insurgent_threats,,2,2,supportive,,0
1474,3227705,356227,retweet,fcd66f16b44d7e6e57aedfb742c02d1b966fcebbe660de32b3207fc0159917d6,"RT @wearep0tato So far, eto yung nasagap kong plot ng 2 megaseryes ng GMA: MTT Will cover pre-colonial PH. About a man who was cursed to live forever, spends his life finding his great love PA A unique love story during WW2 between a Japanese soldier and Filipina Spy/Vaudeville Actress https://t.co/monVyiBJVE",,1681345830,Twitter,,actress colonial cover cursed eto filipina finding forever gma great japanese kong life live love love man megaseryes mtt nasagap ng ng pa ph plot pre rt soldier spends spy story unique vaudeville ww2 yung,35,insurgent_threats,,19,2,neutral,,0
2572,6561951,46734,retweet,7d32a8b662056cb0bef34c9350c0da4a64b9586ee3ecc304a42ca91f25141b09,RT @cocostarmaximus Most probably this is what a Chinese missile strike on an US EDCA base will look like. Especially if those missiles hit American prepositioned arms and munitions. Get familiar with it. Watch the video several times. This way when it happens you will know what you are looking at.,,1682924121,Twitter,,american arms base chinese edca familiar hit missile missiles munitions prepositioned rt strike times video watch,16,insurgent_threats,,2,4,opposing,,0
576,5621928,30760,retweet,552358b21e4184623ecc0574bc5a65ca06ebecf8fec039dfb4ebd7112286b8f4,RT @JohnnyAkzam This is really why they really find China to be a threat. China is willing to prosecute its corrupt oligarchs. That scares the hell out of them because they're all guilty as hell.,,1684003157,Twitter,,china china corrupt find guilty hell hell oligarchs prosecute rt scares threat,12,insurgent_threats,,2,3,opposing,,0
3098,3212208,1871,reply,0915e955160872fac100bdd299ace013dceb98f3393e7dde0ef7d2e60f3eb308,"Viewing episode reviews in this link http://t.co/PG4xETRq You can see the PWEDE every first and later Friday of the month, 8:00 AM - 8:30 AM, in Facebooking of 702 DZAS-FEBC Radio, We Colborkor for Young Leaders of Democracy, and LAS!",,1685352782,Twitter,,00 30 colborkor democracy dzas episode facebooking febc friday las leaders link month pwede radio reviews viewing young,18,insurgent_threats,,2,3,neutral,,0
2810,661011,111288,retweet,6639a0b22500bf08ca67d24ea20ad1e5a08f82e5a87ecbcec6fa03ffd4b2b379,"RT @AustriaUN At today’s #CSW side event on #WPS in Ukraine 🇺🇦, co-hosted with @GNWP, Austria 🇦🇹 underlined the need to: 🔎Amplify the voices of Ukrainian women‘s CSOs; 💪Empower local women humanitarian responders and women peacebuilders, and; ❗️Make UNSC Resolution 1325 a reality! https://t.co/5ByweT3IWh",,1678808729,Twitter,,amplify austria csos empower event hosted humanitarian local peacebuilders reality resolution responders rt side today ukraine ukrainian underlined unsc voices women women women ❗️make,24,insurgent_threats,,3,4,supportive,,0
