Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
1704,3206995,78698,retweet,7202815cb497e941ad2c5da24528703401fd12473deecbc9557963690f4e14ae,"RT @DahasPH On 8-15 April, 10 were killed in Marcos Jr.'s drug war. Cotabato logs 6 deaths, 5 of w/c from a police raid. Cebu, now with 10 killings since the start of '23, is the 3rd hotspot in PH. So far, no state agents were involved in the Cebu killings. Sources: https://t.co/LgQKzDegGL https://t.co/tDkCdcwM9t",,1681738252,Twitter,,15 23 3rd agents april cebu cebu cotabato deaths drug hotspot involved jr killed killings killings logs marcos ph police raid rt sources start state war,26,crime,,12,12,opposing,,0
263,3701293,902,retweet,818efdf4a2825d285785c827eb4304b2bf37ad1d11631a22332cc8b3c4a26e02,"RT @07Red2 O mga taga NAGA the bailiwick of Leni Robredo. MAKINIG @ MAGBASA! TUNAY na ipinatutupad ng gobyerno ang diwa ng reconciliation, pagkakaisa. Walang dapat pinipili, bastat taos pusong gustong makatulong. Good Job! @bongbongmarcos ✌ PBBM MAGANDANG BALITA #MoMGoesToCebu https://t.co/fVIjWubbc4",,1678518208,Twitter,,ang bailiwick balita bastat dapat diwa gobyerno good gustong ipinatutupad job leni magandang magbasa makatulong makinig mga na naga ng ng pagkakaisa pbbm pinipili pusong reconciliation robredo rt taga taos tunay walang,32,crime,,16,16,supportive,,0
33,6077081,5250,retweet,727d333b0fc1da7dc90a969b9b2171df224f82576fd8a4facd96aca7ae182449,RT @MrAndyNgo A group of eight black female youths is accused of swarming & stabbing to death a Hong Kong immigrant in Toronto. The unnamed juvenile murder suspects have not been charged with any hate crimes. https://t.co/3tCM6KL3rF,,1673906163,Twitter,,accused black charged crimes death female group hate hong immigrant juvenile kong murder rt stabbing suspects swarming toronto unnamed youths,20,crime,,1029,5,opposing,,0
1371,615151,5958,retweet,f9932542a4b96d4b0c810550851129f0a23fa29a02cc022e497618d5a6b609c5,"RT Å Daughter Laguna At the approaching short - term man on the grim Mendiola Massacre, the Childtown Laguna presents “In the Memorial of Mendiola: ED Series APT to revive the struggle of the martyrs of the Filipino citizen. 1/3 thps:/coc./8HURXa",,1673485976,Twitter,,8hurxa approaching apt childtown citizen coc daughter ed filipino grim laguna laguna man martyrs massacre memorial mendiola mendiola presents revive rt series short struggle term thps,26,crime,,11,55,opposing,,0
61,3315209,83769,retweet,e19b79dc66bd499308b1081d10362ec8e89f890d1df1ce269f99b1b8cefe00e9,RT @JudicialWatch .@TomFitton: Ashli Babbitt Shooter Housed in ‘Distinguished Visitor Suite’ at Military Base for MONTHS Read at https://t.co/pj584AGjY3 https://t.co/WRyzRjPZYP,,1673452260,Twitter,,ashli babbitt base distinguished housed military months read rt shooter suite visitor,12,crime,,154,5,opposing,,0
1457,3591811,11655,retweet,087adde714b02199544ac3e8da42243c0f640c1fe2a6d6fc73dc118211609417,"RT @globaltimesnews Chinese Foreign Ministry on Friday criticized the #US for its irresponsible position on #cyberattacks, as it puts the world's critical infrastructure at risk and raises the possibility of a Nord Stream-style attack in #cyberspace. https://t.co/sRtIFY9bN2",,1685154065,Twitter,,attack chinese critical criticized cyberspace foreign friday infrastructure irresponsible ministry nord position possibility puts raises risk rt stream style world,20,crime,,10,5,opposing,,0
91,5556954,322001,retweet,3ede8c4fa392ff88a2ddc50095d049d3ef12c0cc005329652c93caba175ee84b,"RT @WeAreNotFood Dog slaughterhouse, June 4th 2023 This slaughterhouse is located in the infamous city of Yulin, Guangxi Zhuang Autonomous Region, China. Dog meat is consumed in Yulin every day, not only during the Yulin Dog Meat Festival that will start on June 21st. -> https://t.co/lzsgkeNI3R",,1685935081,Twitter,,21st 4th autonomous china city consumed day dog dog dog festival guangxi infamous june june located meat meat region rt slaughterhouse slaughterhouse start yulin yulin yulin zhuang,27,crime,,325,5,opposing,,0
1378,6946834,5958,retweet,f6493b192bd9354777dc2817ee86a1822cda53cb971b4fa1fbd7cc92ffb82f53,RT @PilipinasSaka JUSTICE FOR THE FAUSTO FAMILY! END STATE-SPONSORED TERRORISM AGAINST FARMERS! We call on our allies to join the social media rally tonight! Let us light a candle in memory of the victims and as indignation to state terrorism! https://t.co/II4aiM4ntx,,1686923468,Twitter,,allies call candle end family farmers fausto indignation join justice light media memory rally rt social sponsored state state terrorism terrorism tonight victims,23,crime,,48,55,opposing,,0
752,3342046,5208,retweet,3e3a61a2f52b2c1a9c04c57cf7b02a6694b666c967aa48832ff67a22e80591f7,"RT ̆ruminarist SO FAR, beginning with the murder of Ka Percy Lapid to this day, only one has had a high profile case or crime in the Philippines -- the liberation of Boying’s son, Thirddie in the case of obile drugs. ""The Philippine judicial system is working -DOJ el",,1675496255,Twitter,,beginning boying case case crime day doj drugs el high judicial ka lapid liberation murder obile percy philippine philippines profile rt son system thirddie working ̆ruminarist,26,crime,,30,12,neutral,,0
600,2688095,34109,retweet,5c0417d58f4dfc91e8354aea1a8047ec54f817df499304398ae68e0841f0b4de,"RT BADICRE! Kim Falyabu_natyl HUSTISY FOR THE VICTIMS OF NEW ISLOCRE! This is what Kim Falyo, Deputy Secretary-Genal of Youth of Youth for Tribu Filipino (Kotribu Youth), in Rev UP Fair 2023. #JusticeFHAN #Justefor.",,1676733633,Twitter,,2023 badicre deputy fair falyabu_natyl falyo filipino genal hustisy islocre kim kim kotribu rev rt secretary tribu victims youth youth youth,21,crime,,48,8,opposing,,0
1721,6175203,102802,retweet,fcf6cb2445a20a9e960e2cf17579d41b955c35b36c51683107c866120852997a,"RT @DahasPH On 8-15 May, 11 were killed in Marcos Jr.'s drug war. Davao City tops once again, along with Cebu and Leyte. In Davao City, 19 killings have so far been recorded in 2023, a rate of 1 every week, all of which were perpetrated by state agents. Sources: https://t.co/sBdYu3z7W6 https://t.co/PQnYtnWkSc",,1684316956,Twitter,,15 2023 agents cebu city city davao davao drug jr killed killings leyte marcos perpetrated rate recorded rt sources state tops war week,23,crime,,18,5,opposing,,0
75,4549657,48159,retweet,aeaedab4375d9efb8a83a714c0733bf9b4776adc2f5c92e2d5d8c113334c26a1,RT @RebeccaYChan Wang Wenbin: We are struck by the blatancy and egregiousness of the US’s plundering of Syria… US forces used 60 tankers and trucks to ship oil and wheat they looted from Syria. Such banditry is aggravating the energy crisis and humanitarian disaster..” 1/2 https://t.co/wbIyot55Fz,,1674549738,Twitter,,aggravating banditry blatancy crisis disaster egregiousness energy forces humanitarian looted oil plundering rt ship struck syria syria tankers trucks wang wenbin wheat,22,crime,,110,6,opposing,,0
357,1187828,2205,retweet,d620e2dca86aa402a51a438cbaeedf9bc8e7c994d52c58a293884b5bca0f23dc,"RT @AlfredoGenom Some PHP10 billion worth of illegal drugs were seized across the country during the first six months of PBBM in office. More than 30,000 drug suspects were arrested in 24,000 police operations. 🇵🇭 https://t.co/FVlDX3MX0c",,1673255086,Twitter,,000 000 24 30 arrested billion country drug drugs illegal months office operations pbbm php10 police rt seized suspects worth,20,crime,domestic_political_issues,12,11,supportive,,0
