Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,tweet_counts,user_counts,gpt_label,manual_label,is_gt
1470,6988062,21127,retweet,1adc3b2e2c877d99d26ac7f45b8806ff8c144275dc9567ba9caa1ff1ad9a3e05,"RT BERSyLicoNga I DESUPPED to add the RIA EDCA sites to the Philippines. Wow! Assan, those who are noisy in the use of soberenya to defend Dignya? If you are quiet, tell China who has run away from WPS and stopped working with our fishmen. cheps:/tcog./XCIZGK",,1675459026,Twitter,,add assan bersyliconga cheps china defend desupped dignya edca fishmen noisy philippines quiet ria rt run sites soberenya stopped tcog working wow wps xcizgk,24,12,16,opposing,,0
7226,6287985,5272,retweet,fa79b068061c532a940615f96ed8de25e45d1d4f3ad40e9549b14e6ee6960c3f,RT @LFSPhilippines The League of Filipino Students rejects the expansion of US military bases in the Philippines under the Enhanced Defense Cooperation Agreement (EDCA) with the visit of US Defense Secretary Lloyd Austin. #DownWithImperialism #JunkVFA #NoToWarsOfAggression https://t.co/uICG9ZQxe7,,1675327367,Twitter,,agreement austin bases cooperation defense defense edca enhanced expansion filipino league lloyd military philippines rejects rt secretary students visit,19,25,7,opposing,,0
5948,857190,11170,retweet,47d5df0778effb11e420e258d493ad7e0bb465dc31e32aa2471ace59976c5061,"RT ŠLFHIPHUS Biden-Marcos Jr. reaffmaral defense, PH neocolonial statusieFS Press Release With 2, 2023 “Permanent is US military precision in the Philippines at the beginning of the American colonization period, but it has not done much to stem the expiration of China."" htps:/tcocco/49yLCX",,1683028640,Twitter,,49ylcx american beginning biden china colonization defense expiration htps jr marcos military neocolonial period permanent ph philippines precision press reaffmaral release rt statusiefs stem tcocco šlfhiphus,26,15,40,neutral,,0
984,2691209,6310,retweet,5b76a3b08bf2da455418ca0a15e251237385986a58a1b8efa38914b1abccdb2a,"RT @CollinSLKoh Beijing warns Manila that expansion of U.S. military access under EDCA, which is motivated by PRC actions endangering peace in SCS, is ""endangering peace"". 🙃https://t.co/kfdXSVR2a8",,1678587569,Twitter,,access actions beijing edca endangering endangering expansion manila military motivated peace peace prc rt scs warns,16,31,14,opposing,,0
26029,1753290,69658,retweet,c31744d4d4cebf18f14e7e2b60ae51a14013c0e5e5765abdb0973be4071542c7,"RT @TheIntlMagz Thread 👇🏻 #Philippines 🇵🇭 | The Communist Party of the Philippines revealed that key leaders Benito Tiamzon and Wilma Austria were brutally tortured and killed by the US-backed military, along with eight other prisoners on August 21, 2022. https://t.co/FZSVH3ktlo",,1682074419,Twitter,,2022 21 august austria backed benito brutally communist key killed leaders military party philippines prisoners revealed rt thread tiamzon tortured wilma,21,122,7,opposing,,0
4752,3838442,31377,retweet,fb96e7f8c4e448f4e1ec2df2324b05cd949121f7c0b25ad8a1b74c5ef95a27d7,"RT £Thinking PinoyPH Nung campaign, first presidential who can and step foot in the US. Two US visits is tas the second, woth full military times, after being taken by the US while being taken by China, asking what PBM wants for the Philippines. Why is that! Watppps:/tco1WNZApex",,1683410209,Twitter,,campaign china foot full military nung pbm philippines pinoyph presidential rt step tas tco1wnzapex times visits watppps woth £thinking,19,34,24,neutral,,0
943,4837288,15244,retweet,a08f26b58e9fb0dfe2fb9a8b21e9a27443cfd87b87bd8829022f7ed5b8e01d67,"RT @SyLicoNgaAko 🇨🇳 is gaslighting, blaming the US for increasing tension in the South China Sea. The root of all this mess is 🇨🇳 illegal expansion in the South China Sea; it has militarized islands in the disputed waters, and the continuing harassment of Filipino fishermen by the Chinese ships.",,1680895045,Twitter,,blaming china china chinese continuing disputed expansion filipino fishermen gaslighting harassment illegal increasing islands mess militarized root rt sea sea ships south south tension waters,25,11,33,supportive,,0
5876,5581109,105923,retweet,643e2018cf364a434ead8a37a8053e26f7ba515855d3b7588de20a0299cb7008,RT @nowyouknowph Members of progressive organizations on Thursday protested against a military agreement between the Philippines and the United States that allows American troops to use Filipino military camps and called for its outright abolition. https://t.co/4prCU8SMnr,,1675391918,Twitter,,abolition agreement american called camps filipino members military military organizations outright philippines progressive protested rt states thursday troops united,19,10,11,opposing,,0
4045,1729299,93441,retweet,642292dd0363494ae0076c7e4907bfada6acfb7d6dd79d21722bee82f45d7701,"RT @IndoPac_Info 1) #US military poised to secure new access to key #Philippines bases The expansion is part of a broader push in the Indo-Pacific to buttress U.S. force posture, reinforce alliances and deter #China An announcement is expected as soon as this week. https://t.co/I4Kwk1VRJn",,1675177686,Twitter,,access alliances announcement bases broader buttress china deter expansion expected force indo key military pacific part poised posture push reinforce rt secure week,23,13,38,supportive,,0
2721,2120092,6044,retweet,c1815d5475ffd231fc4d700fe47fb400b0abb99fb5be731fc1da34ace5e6ea76,RT @societyofhonor I see the mainstream Philippine press all headlined China's criticism of EDCA bases. None called it an arrogant intrusion by China into Philippine sovereign affairs. No headline mentioned China's unlawful presence in Philippine seas. At least the US asks.,,1678665900,Twitter,,affairs arrogant asks bases called china china china criticism edca headline headlined intrusion mainstream mentioned philippine philippine philippine presence press rt seas sovereign unlawful,24,10,28,supportive,,0
