Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
2408,5860969,452506,retweet,33626848527a80ba2e9af2b27a2e9cf5fc53e27630899c1d54e80705db78a89c,"RT @globaltimesnews China’s domestic COVID-19 vaccine production can meet demand and China is willing to cooperate with the international community to better deal with the pandemic, Chinese FM responds to FT report of EU’s offer of vaccines to China. https://t.co/FwRghdozh7",,1672743602,Twitter,,19 china china china chinese community cooperate covid deal demand domestic eu fm ft international meet offer pandemic production report responds rt vaccine vaccines,24,energy,,13,9,supportive,,0
1039,3638671,7570,retweet,c2f849e2b3aaea2c17d85b70ffdd537f21236096dd311f91c51a538ae9929e15,"RT @DEFCONWSALERTS We are receiving reports that China has continued its live-fire exercises around Taiwan despite claiming that its ""3-day exercise"" ended yesterday. This is very early information & we are still in the process of analyzing the situation.",,1681235045,Twitter,,analyzing china claiming continued day early ended exercise exercises fire information live process receiving reports rt situation taiwan yesterday,19,energy,,138,6,opposing,,0
1570,97324,26389,retweet,69db8cb39b1f37f50a9d262bde28eb4249cb7372bd87a68984638a0847803c8e,RT @GordianKnotRay 1/🇨🇳#China’s flotilla escorting survey ship Xiang Yang Hong 10 through 🇻🇳#Vietnam’s exclusive economic zone (among its oil/gas fields) enters its 13th day. It includes China Coast Guard 5305 & 4 militia ships. [🧵1/2] https://t.co/SqcQUFkBO7,,1684466733,Twitter,,13th china china coast day economic enters escorting exclusive fields flotilla gas guard hong includes militia oil rt ship ships survey xiang yang zone 🧵1,25,energy,,102,9,opposing,,0
1289,1403477,135014,retweet,7a159952fc6611b028a10ddaba564c5dae8ecb5cf5a66abd7a762c706740845c,"RT @mattybach1 ""So much of the propaganda indoctrination we’re subjected to in the 2020s revolves around convincing people to believe that Russia and China should react completely differently than the way the US would react if foreign proxy forces were being amassed along its borders."" @caitoz",,1685108858,Twitter,,2020s amassed borders china completely convincing differently forces foreign indoctrination people propaganda proxy react react revolves rt russia subjected,19,energy,,14,6,supportive,,0
3963,933120,10071,retweet,86a27d2b377f090703949ddaecd6c314f13642cae98bbd5cd8e5abf6c79e2f96,"RT @barnabychuck Although they still can’t enter the resource-rich lagoon in the Scarborough Shoal, Filipino fishermen we spoke with said the Philippine Coast Guard has equipped them with phones to document Chinese harassment. But China has issued another threat - this time to Filipinos in… https://t.co/qu5qqp0YEk",,1682361875,Twitter,,china chinese coast document enter equipped filipino filipinos fishermen guard harassment issued lagoon philippine phones resource rich rt scarborough shoal spoke threat time,23,energy,,82,36,opposing,,0
102,3350858,12234,retweet,91c81410d548f019d86066e49892dcbb0f0d83eae60294d21224946a5c9ae7b8,RT @WarClandestine 1) China are not trying to “interfere” in the investigation into the origins of C19… China oppose that the committee already decided that China are “complicit”. It’s not an “investigation” when you’ve already decided who’s at fault. US actors created SARS-CoV-2. Not China.,,1681708905,Twitter,,actors c19 china china china china committee complicit cov created decided decided fault interfere investigation investigation oppose origins rt sars ve,21,energy,,262,32,opposing,,0
2272,1493399,40702,retweet,cc5a2cd4b29d7898bafee172ec2ce48fd1cd48226e818d856574136737badca1,"RT @TheresaAFallon “China has begun to impede projects to lay and maintain subsea internet cables through the South China Sea, as Beijing seeks to exert more control over the infrastructure transmitting the world’s data.” https://t.co/AssMhWvD6D",,1678764234,Twitter,,begun beijing cables china china control data exert impede infrastructure internet lay maintain projects rt sea seeks south subsea transmitting world,21,energy,,210,5,opposing,,0
5223,5985519,261098,retweet,f58cd59fa04c98346c2a55c6b5d38b0a4d2f4435b7a51e0af19e3539aa8a177f,"RT @CIA_in_China The Philippines gets mad when China changes the status quo by reclaiming land to build islands and then militarizing them, but sure, that’s “the dark hand” of America at work and Manila only reacted when Washington told them to. Does no other country on this planet have agency?",,1680860265,Twitter,,agency america build china country dark hand islands land mad manila militarizing philippines planet quo reacted reclaiming rt status told washington work,22,energy,,11,16,opposing,,0
2271,6657758,311138,retweet,55f0d566f859e32f529f0b462ba4c850576942b2771739ce78a15bbbe17b3104,RT @Byron_Wan Philippine authorities warned China of “serious repercussions” if buoys installed last week within Manila’s exclusive economic zone in the South China Sea are removed from contested waters. https://t.co/ZrH6hXRSrs,,1684268516,Twitter,,authorities buoys china china contested economic exclusive installed manila philippine removed repercussions rt sea south warned waters week zone,19,energy,,15,9,opposing,,0
5292,6550052,17626,retweet,d90d27b762b226c5ae1f58819813c55048ed8b8bebe02a14e2c268d10fb3211d,RT @pcogovph President Ferdinand R. Marcos Jr. has signed a bilateral agreement with China during his state visit that is expected to revive the country’s steel industry with the setting up of a liquid steel plant. Read: https://t.co/uHgf8m3hXE https://t.co/JYxuG8YjUs,,1673151000,Twitter,,agreement bilateral china country expected ferdinand industry jr liquid marcos plant president read revive rt setting signed state steel steel visit,21,energy,,27,9,supportive,,0
