Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
156,2199002,18688,retweet,fd6cfbe2bbb1e0ed574b583042e74aa111bb226e16c9400409c22432f535a32f,"RT @_Allan_Bernabe_ When PNoy gave us ""Rising Tiger of Asia"", Robin don't want continuity When Duterte returned us to ""Sick Man of Asia"", Robin wants continuity Now that Marcos Jr is giving us high inflation, surging food prices, & scared away foreign investments, Robin wants continuity even more",,1679649505,Twitter,,asia asia continuity continuity continuity duterte food foreign gave giving high inflation investments jr man marcos pnoy prices returned rising robin robin robin rt scared sick surging tiger,28,social_and_economic_issues,,76,59,opposing,,0
1084,4611183,8323,retweet,357fa806b5bc36ce6e6d97cf5527926f5ae38033f715ee9ec21252ad958048b6,"RT @GrowlHarhar The Philippines is classified as Upper-middle income economy unofficially based on latest data by the Bangko Sentral ng Pilipinas (at current $ prices): Per Capita GNI: $4,420 Per Capita GDP: $4,041 Per Capita GNI PPP: $12,729 Per Capita GDP PPP: $11,638 https://t.co/uLe6FmBDPW https://t.co/iv8J7l9mQf",,1686889253,Twitter,,041 11 12 420 638 729 bangko based capita capita capita capita classified current data economy gdp gdp gni gni income latest middle ng philippines pilipinas ppp ppp prices rt sentral unofficially upper,33,social_and_economic_issues,,10,283,neutral,,0
13711,6876883,11839,retweet,0ba0b35c48445a022cb43b813a1888de7e8f84a1ac2a12645401c4aebc210b22,"RT wivescarcant_ is not a new news item of jeepney modernization, a duterte regime so that it is not the consequence of their voting to marcos. The transpo crisis has long since been reached and the list of actions has been long enough to shake the government against d2 hay touch lifts or sumn.",,1677234881,Twitter,,actions consequence crisis d2 duterte government hay item jeepney lifts list long long marcos modernization news reached regime rt shake sumn touch transpo voting wivescarcant_,25,social_and_economic_issues,,57,11,neutral,,0
2060,2553235,2949,retweet,377d51ac046e6f94c68df07d2c85b8ee26fe1df834bc855b85ce37592d5b6448,RT @inquirerdotnet President Marcos launched an ambitious five-year plan that would more than double the country’s export target from the $127 billion this year to more than $240 billion in 2028. | @JeromeAningINQ /PDI https://t.co/Ui5IQ0bEoa,,1686995069,Twitter,,127 2028 240 ambitious billion billion country double export launched marcos pdi plan president rt target year year,18,social_and_economic_issues,,10,89,supportive,,0
416,866069,15244,retweet,1173711559a27d23349513e12af1c9ee45efdd2b57a63a993e5050011acba0cd,"RT @inquirerdotnet JUST IN: President Ferdinand Marcos Jr. tells reporters the government has no plan to use state pension funds as ""seed funds"" for the Maharlika Investment Fund (MIF). | @NCorralesINQ /PDI https://t.co/UWg4rgwSvl",,1685530364,Twitter,,ferdinand fund funds funds government investment jr maharlika marcos mif pdi pension plan president reporters rt seed state tells,19,social_and_economic_issues,,10,90,neutral,,0
15552,51188,14408,reply,58b3e3d139f826669f9889f41201bcf9588109650d440949b695d51eae90aede,Be part of the largest private sector-led movement for creating an innovation and technology ecosystem in the country that is actively engaged in a global digital economy. Be part of Digital Pilipinas! Join us today: https://t.co/ACzptYTQdm,,1677581288,Twitter,,actively country creating digital digital economy ecosystem engaged global innovation join largest led movement part part pilipinas private sector technology today,21,social_and_economic_issues,,81,65,neutral,,0
110,6550172,9523,retweet,a09fdac2b71b93f42dd2abee481a1d5040f41a890a8e3cee778f008e2333e55e,"RT ŏradiospisen1 Statement by DICT Sec. Uy, following Pres. Marcos Jr. at the National Tourism Development Plan 2023-2028, where the nation’s steps and program for strengthening tourism sctor under Mark Jr. Admin.RED:httpps:/co./oBUNK tpsis:/t/tcoc.",,1684316126,Twitter,,2023 2028 admin development dict httpps jr jr marcos mark nation national obunk plan pres program red rt sctor sec statement steps strengthening tcoc tourism tourism tpsis uy ŏradiospisen1,29,social_and_economic_issues,,10,21,supportive,,0
520,3863871,52003,retweet,217b8792733c44c28682b8834d4d79a98d6ff6c9d32374adc2c55e7aa55333fa,"RT @inquirerdotnet Senate Minority leader Koko Pimentel urges Pres. Ferdinand Marcos Jr. to veto the Maharlika Investment Fund bill and return it to Congress. “The bill, in its current form, is not acceptable. I am calling on the President to exercise his veto power,"" he says. | @JMangaluzINQ https://t.co/1WwAQc5gQb",,1685743490,Twitter,,acceptable bill bill calling congress current exercise ferdinand form fund investment jr koko leader maharlika marcos minority pimentel power pres president return rt senate urges veto veto,27,social_and_economic_issues,,79,15,opposing,,0
162,5942891,18688,retweet,54c0fb5ef40463aeb22728b51c1691ff360daafb8a4f7edaa522ca6f0806a159,RT @IT_IS_ME3656 VERA FILES FACT CHECK: Data contradict Marcos’ claim that PH economy is ‘fastest growing’ in the world - VERA Files https://t.co/RKw5HKlV2D Files Newsletter subscribers ALAMANO PEKENG PRESIDENTE @bongbongmarcos - UBOD KA TALAGANG SINUNGALING! TANGA. BOBO,,1686458129,Twitter,,alamano bobo check claim contradict data economy fact fastest files files files growing ka marcos newsletter pekeng ph presidente rt sinungaling subscribers talagang tanga ubod vera vera world,28,social_and_economic_issues,,35,59,opposing,,0
243,5233447,2413,retweet,df8559246982b13020a960b90dcfb0ea9b43f1ecc9ab0b35926e15a58a0ed98d,"RT @ronaldgem Marcos-Duterte allies and their supporters CHEERED when ABS-CBN was shutdown. They CHEERED when 11,000 employees lost their jobs, affecting their families. They CHEERED when an employee had a heart attack after learning of the shutdown. Wala kayong moral ascendancy.",,1675525223,Twitter,,000 11 abs affecting allies ascendancy attack cbn cheered cheered cheered duterte employee employees families heart jobs kayong learning lost marcos moral rt shutdown shutdown supporters wala,27,social_and_economic_issues,,336,145,opposing,,0
